CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,317,1,"? 77,183.60",1,1,4,114,Lost Customers
12347,-6,7,"? 4,310.00",4,4,4,444,Champions
12348,67,4,"? 1,797.24",2,3,4,234,Loyal Customers
12349,10,1,"? 1,757.55",3,1,4,314,Potential Loyalist
12350,302,1,? 334.40,1,1,2,112,Lost Customers
12352,28,8,"? 2,506.04",3,4,4,344,Loyal Customers
12353,196,1,? 89.00,1,1,1,111,Lost Customers
12354,224,1,"? 1,079.40",1,1,3,113,Lost Customers
12355,206,1,? 459.40,1,1,2,112,Lost Customers
12356,14,3,"? 2,811.43",3,3,4,334,Loyal Customers
12357,25,1,"? 6,207.67",3,1,4,314,Potential Loyalist
12358,-7,2,"? 1,168.06",4,2,3,423,Potential Loyalist
12359,49,4,"? 6,372.58",2,3,4,234,Loyal Customers
12360,44,3,"? 2,662.06",2,3,4,234,Loyal Customers
12361,279,1,? 189.90,1,1,1,111,Lost Customers
12362,-5,10,"? 5,226.23",4,4,4,444,Champions
12363,101,2,? 552.00,2,2,2,222,Others
12364,-1,4,"? 1,313.10",4,3,3,433,Loyal Customers
12365,283,2,? 641.38,1,2,2,122,Others
12367,-4,1,? 168.90,4,1,1,411,Potential Loyalist
12370,43,4,"? 3,545.69",2,3,4,234,Loyal Customers
12371,36,2,"? 1,887.96",3,2,4,324,Potential Loyalist
12372,63,3,"? 1,298.04",2,3,3,233,Loyal Customers
12373,303,1,? 364.60,1,1,2,112,Lost Customers
12374,17,1,? 742.93,3,1,3,313,Potential Loyalist
12375,2,2,? 457.50,4,2,2,422,Potential Loyalist
12377,307,2,"? 1,628.12",1,2,3,123,Others
12378,121,1,"? 4,008.62",2,1,4,214,Others
12379,73,2,? 852.24,2,2,3,223,Others
12380,13,4,"? 2,724.81",3,3,4,334,Loyal Customers
12381,-4,5,"? 1,845.31",4,3,4,434,Loyal Customers
12383,176,5,"? 1,850.56",1,3,4,134,Loyal Customers
12384,20,2,? 585.27,3,2,2,322,Potential Loyalist
12386,329,2,? 401.90,1,2,2,122,Others
12388,7,6,"? 2,780.66",4,4,4,444,Champions
12390,71,1,? 549.84,2,1,2,212,Others
12391,13,1,? 460.89,3,1,2,312,Potential Loyalist
12393,64,4,"? 1,582.60",2,3,3,233,Loyal Customers
12394,55,2,"? 1,272.48",2,2,3,223,Others
12395,11,12,"? 3,018.63",3,4,4,344,Loyal Customers
12397,27,2,"? 2,409.90",3,2,4,324,Potential Loyalist
12398,37,1,"? 1,635.66",3,1,3,313,Potential Loyalist
12399,111,4,"? 1,108.65",2,3,3,233,Loyal Customers
12401,295,1,? 84.30,1,1,1,111,Lost Customers
12402,315,1,? 225.60,1,1,1,111,Lost Customers
12403,41,1,? 427.70,3,1,2,312,Potential Loyalist
12405,140,1,"? 1,710.39",1,1,4,114,Lost Customers
12406,14,2,"? 3,415.30",3,2,4,324,Potential Loyalist
12407,41,5,"? 1,708.12",3,3,4,334,Loyal Customers
12408,24,5,"? 2,888.55",3,3,4,334,Loyal Customers
12409,70,3,"? 11,072.67",2,3,4,234,Loyal Customers
12410,300,2,? 693.33,1,2,3,123,Others
12412,66,3,"? 1,226.88",2,3,3,233,Loyal Customers
12413,58,3,? 758.10,2,3,3,233,Loyal Customers
12414,209,3,? 562.41,1,3,2,132,Others
12415,16,21,"? 1,24,914.53",3,4,4,344,Loyal Customers
12417,-5,9,"? 3,649.10",4,4,4,444,Champions
12418,104,1,? 668.58,2,1,2,212,Others
12420,55,1,? 600.39,2,1,2,212,Others
12421,7,4,? 807.04,4,3,3,433,Loyal Customers
12422,87,3,? 803.56,2,3,3,233,Loyal Customers
12423,-8,8,"? 1,859.31",4,4,4,444,Champions
12424,154,2,"? 1,760.96",1,2,4,124,Others
12425,70,1,? 777.20,2,1,3,213,Others
12426,186,1,? 582.73,1,1,2,112,Lost Customers
12427,13,3,? 825.80,3,3,3,333,Loyal Customers
12428,17,9,"? 7,956.46",3,4,4,344,Loyal Customers
12429,1,4,"? 3,750.40",4,3,4,434,Loyal Customers
12430,35,1,? 256.40,3,1,1,311,Potential Loyalist
12431,27,15,"? 6,487.45",3,4,4,344,Loyal Customers
12432,34,5,"? 5,059.32",3,3,4,334,Loyal Customers
12433,-8,7,"? 13,375.87",4,4,4,444,Champions
12434,76,2,? 806.14,2,2,3,223,Others
12435,71,2,"? 7,829.89",2,2,4,224,Others
12436,91,1,? 509.01,2,1,2,212,Others
12437,-7,18,"? 4,951.41",4,4,4,444,Champions
12438,6,2,"? 2,906.85",4,2,4,424,Potential Loyalist
12441,358,1,? 173.55,1,1,1,111,Lost Customers
12442,-5,1,? 172.06,4,1,1,411,Potential Loyalist
12444,13,5,"? 5,005.46",3,3,4,334,Loyal Customers
12445,14,1,? 133.40,3,1,1,311,Potential Loyalist
12446,49,1,"? 1,002.31",2,1,3,213,Others
12447,235,1,? 476.49,1,1,2,112,Lost Customers
12448,36,1,? 449.45,3,1,2,312,Potential Loyalist
12449,14,4,"? 4,067.29",3,3,4,334,Loyal Customers
12450,148,2,? 197.88,1,2,1,121,Others
12451,2,5,"? 9,035.52",4,3,4,434,Loyal Customers
12452,8,2,? 430.57,4,2,2,422,Potential Loyalist
12453,126,1,? 707.09,2,1,3,213,Others
12454,48,1,"? 3,528.34",2,1,4,214,Others
12455,65,6,"? 2,466.86",2,4,4,244,Loyal Customers
12456,36,3,"? 3,181.04",3,3,4,334,Loyal Customers
